countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,421540469.789481,427528811.027569,429472848.767742,446007373.423676,469541858.82484,486361442.089356,499426131.125613,508496818.097508,522572257.821008,519855558.040467,546367366.282945,562695379.669093,575634903.122609,584231928.73527,594215776.414191,599601268.252637,595571140.149505,610955925.645617,633737109.950002,644767403.225207,618353912.635842,640225404.708288
Afghanistan,12351.2323133586,7922.59861111871,8345.90743726937,8241.01728619849,7460.80106334328,7693.52267403317,8177.34783066043,14435.018284786,14831.5965136381,19603.0845461335,28408.2161995594,43303.9362053954,39556.4314175291,43063.753973061,47255.4309891872,44373.5361907003,52230.6642957417,62776.3956557072,66654.0561547222,58344.841364885,10825.1280909996,43482.1061908625
Albania,64180.9868007062,54188.801265469,54077.9618983616,72708.6916163303,75213.3085148678,74718.6139844075,72221.20742031,45195.631720623,55418.8512761087,67723.1739243678,103913.684629555,80033.2657805031,88664.6505112691,111452.392282618,98080.0401546756,107884.42395423,132257.80942755,87143.562071348,122742.145080716,96431.8494851179,94526.7644512123,126599.793139189
Algeria,6531398.39867187,6509860.50354294,6742396.64111575,7162817.60583807,7281074.4513384,7891511.19052031,7826756.23961773,7522141.21044802,7573616.10487458,7327118.98268314,7309255.90042336,7204440.70911604,7384767.30320907,6868854.28756029,6923012.60618756,7064857.1112019,7291184.74442789,7206422.90602357,7126972.41089877,6831064.63716479,6301605.87216823,7023382.22665073
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03592034417873,20.1325757796948,20.0671623168324,19.6641309811316,29.2208268941635,48.6011478509403,48.0261424112624,46.9763618379055,46.2800249751763,46.2800249751763
Angola,1711730.31564821,1697815.83072057,2048096.23092792,2064111.13953261,2419267.26537553,2846163.3425167,3227343.27886667,3965463.35855921,4464831.56021095,4286637.61075294,4365824.11943535,4026297.94725657,4105039.38536188,4148694.9623645,4011879.89151567,4167414.61220081,4151958.3847771,4113684.90815361,4024142.64287913,3720800.55730216,3333276.88742022,2979496.34021864
Antarctica,0.0,0.0,0.0,0.0,0.0,21.0990069406948,20.9301980042756,20.8563440945922,20.793040743435,41.1893804862848,41.1724995926429,41.0036906562237,5.01995574676596,5.03314394492371,5.0167905792081,9.83206549056578,9.74027563138784,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05862497963214,5.12546133202796,5.01995574676596,6.03977273390845,6.02014869504972,52.6507107019798,48.7013781569392,59.7016500200951,96.0522848225248,122.138540778554,148.096079920564,180.677217503088
Argentina,3683151.55232637,3860593.66933949,3770546.50128257,3947158.02044456,4063647.28839556,4045176.67117489,4104623.36728275,3932226.20786548,3866874.77324663,3741739.71369509,3671017.913826,3496717.02047578,3383885.45467727,3298990.89474848,3292319.20523769,3312541.41480401,3408118.46842639,3411890.81970409,3500844.92512249,3623126.82089059,3333005.34144039,3411703.18704118
Armenia,36193.5306556395,35024.2555114707,43467.3969450783,43473.312643244,48179.4135401401,49500.7348933416,48882.3223457752,48200.1924958879,46548.1353675229,48954.0956853173,54405.059683828,54446.3651204581,49396.9216176672,48512.1591650511,47857.9770589133,53307.3595287009,49848.1552901067,51705.5842838118,45723.2459207681,47754.5314174507,49313.5851233998,44109.6674004788
