countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,424282106.840638,427339353.63875,436562982.769292,451692267.733801,475116000.300424,490529294.333121,506112768.318476,520215351.481464,527444697.535672,521963908.730571,556311564.316339,571226679.760623,582212267.746138,592609131.563754,597832462.581191,597353592.082735,605235813.422302,616863351.178434,631472593.343144,634029840.078414,606522268.423605,637327580.485462
Afghanistan,21288.9822527469,16790.6763004547,15941.3754619801,18747.582340714,17317.337492687,22151.911209062,27883.3096708319,33037.2719184132,57828.0185214486,96127.176059282,120043.202918532,151218.462974379,145228.723709581,120451.263569589,102299.482425949,117876.986871764,107581.739842594,106414.239194972,122068.060196582,109131.375640857,98615.216173831,97686.4683455545
Albania,103434.886160511,98039.3165654747,106190.826987283,119772.455731789,127751.526892883,126049.14807046,118682.65669605,102155.881744955,111566.737667558,121582.59152685,129818.316936681,113348.328637162,110915.841321131,139194.697834543,122614.785436966,122700.149578432,143377.559115703,132705.426201593,151316.595978987,119863.90065554,115157.953978321,144909.510772314
Algeria,1344289.82364788,1345806.92238785,1379437.5891568,1395966.95501682,1366729.79512658,1572525.09715696,1645558.93916113,1635068.83635238,1769771.90874788,1882351.92607366,1875636.51659766,2044687.98071741,2213721.53806353,2149765.60326697,2426510.75452029,2481647.02868864,2464591.88134963,2496248.33093869,2660976.57249358,2769387.7224702,2617393.92605006,2723229.25884885
American Samoa,8268.58151434245,8268.58151434247,8405.95874377778,8405.95874377778,8405.95874377778,8929.44553185771,9080.8187735149,9080.8187735149,9105.69772905878,9080.8187735149,9080.8187735149,5181.91620576936,5205.14973543247,5202.04878154906,5201.98336808619,5201.57843023057,5225.33440094732,5230.51735357959,5229.94234813991,5228.89256756655,4982.48284550811,5746.26688848962
Angola,116813.004753856,126842.21783473,135166.80576029,149997.953885152,165876.929332899,141226.931795084,178067.478606481,204676.97147088,239892.760656154,272968.750459597,299443.47032113,313917.006434368,327848.039731208,366907.57131992,403837.109239461,421198.036212968,384305.694693076,366588.598110721,379004.492260333,427155.582361885,424467.47092872,346721.335466206
Antarctica,3346.82549198033,3438.51934107569,3438.51934107569,3438.51934107569,3484.36626562337,3505.46527256405,3505.29646362763,3551.06953426562,177.372878350752,242.619608380236,242.602727486594,242.433918550175,207.000834143767,206.463371838875,206.447018473159,209.670663718658,209.404953493971,196.776962400559,196.776962400559,196.777095499548,165.657205421447,176.285671939468
Antigua and Barbuda,7690.62087377193,7690.62087377194,8244.91114637887,8665.99136475272,8988.19078851819,9125.65298160132,9405.36275294662,9856.75176125929,10083.0897387049,10564.2797027026,10214.6048562613,10185.8861578788,10467.6437757532,10468.6635927403,10703.7055699588,10956.0515656937,11115.5329168535,10574.9772198314,10895.9593455114,10953.8125841913,9269.68442583264,9888.94810624421
Argentina,2904871.97892321,2858752.77239885,2691445.0544372,2930015.09290019,3156379.16953968,3300552.97233698,3480565.57327778,3572648.4026634,3711153.51595551,3629980.61496729,3775656.81747877,3855881.537876,3915277.68516262,3971368.01390972,3985262.27277851,4043381.60336765,4047995.34867925,3869852.30285581,3843352.53130201,3908282.41867559,3426018.29349333,3740064.95993503
Armenia,105745.195882381,103993.610995632,99615.2441205106,109540.878288813,113613.836439257,131612.479045067,131411.497113312,147461.843672733,142312.422528831,127154.906531547,141615.014880696,149094.756595984,157986.370293738,154993.006507725,157982.638805712,146376.160389342,147420.485106363,157109.300709567,154542.58267254,164285.35783014,172572.427733097,177685.394522653
Aruba,15902.53080153,16454.5580004342,17009.2095347157,18941.394774622,19752.7497327872,21331.0854559333,21290.4469623099,21939.3180860945,20609.6199796883,20547.1259518526,19288.2965986694,15344.9562139078,19225.3556265964,18618.4060572429,18883.7988197379,19436.0542821914,18886.8658313351,19554.8949886245,18891.3996986297,19587.0185947507,16691.9167918707,17678.1656016032
Australia,5062495.34901008,5092023.46498345,5247921.31070427,5290414.20287286,5466354.32056924,5568043.60045041,5641198.75214303,5807348.68906601,5808920.85026393,5925511.25251639,5960795.7631527,6059338.80927526,6128131.77225295,6137331.14241375,6068853.74176733,6096400.21258563,6349946.94686607,6541067.37552923,6507213.74507238,6547820.92182299,6154138.57891399,6248759.61386873
Austria,1432389.00545797,1500464.01209497,1499904.41366953,1524459.21008834,1579068.17915754,1638271.26217452,1628977.55492139,1600033.26770059,1603816.38899576,1535269.58726686,1575523.06831591,1498116.18242488,1544751.95154321,1553733.38758392,1502401.66016833,1504813.82700458,1539443.94819116,1572351.49700564,1537707.00842072,1599960.9803783,1487121.53965283,1520355.42162008
