countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    World,424282106.84063804,427339353.6387495,436562982.7692918,451692267.7338007,475116000.3004236,490529294.3331206,506112768.3184763,520215351.48146397,527444697.5356721,521963908.7305706,556311564.3163388,571226679.7606232,582212267.7461385,592609131.5637541,597832462.5811907,597353592.0827347,605235813.4223018,616863351.1784341,631472593.3431438,634029840.0784141,606522268.4236045,637327580.4854624
        Afghanistan,21288.982252746937,16790.676300454692,15941.375461980133,18747.582340713998,17317.33749268697,22151.91120906204,27883.309670831863,33037.27191841319,57828.01852144858,96127.17605928196,120043.20291853182,151218.46297437887,145228.72370958127,120451.26356958858,102299.48242594891,117876.98687176441,107581.73984259379,106414.23919497241,122068.06019658233,109131.37564085727,98615.21617383095,97686.46834555447
        Albania,103434.88616051087,98039.31656547471,106190.8269872826,119772.45573178922,127751.52689288263,126049.14807045982,118682.65669605011,102155.88174495527,111566.73766755845,121582.5915268497,129818.3169366811,113348.32863716206,110915.84132113088,139194.69783454327,122614.78543696624,122700.14957843185,143377.55911570316,132705.4262015925,151316.59597898682,119863.90065554014,115157.9539783206,144909.51077231372
        Algeria,1344289.8236478756,1345806.9223878519,1379437.5891568016,1395966.9550168249,1366729.7951265848,1572525.0971569575,1645558.9391611312,1635068.8363523823,1769771.9087478812,1882351.9260736569,1875636.5165976642,2044687.9807174127,2213721.5380635327,2149765.6032669717,2426510.754520286,2481647.028688635,2464591.8813496334,2496248.3309386894,2660976.5724935792,2769387.722470205,2617393.9260500646,2723229.2588488543
        American Samoa,8268.581514342453,8268.581514342472,8405.958743777785,8405.958743777785,8405.958743777775,8929.445531857711,9080.818773514899,9080.818773514899,9105.697729058775,9080.818773514899,9080.818773514899,5181.916205769361,5205.1497354324665,5202.048781549056,5201.983368086194,5201.578430230566,5225.3344009473185,5230.5173535795875,5229.94234813991,5228.892567566553,4982.482845508111,5746.266888489623
        Angola,116813.0047538563,126842.21783472974,135166.8057602904,149997.9538851516,165876.92933289896,141226.93179508412,178067.47860648093,204676.97147087962,239892.76065615425,272968.75045959733,299443.4703211303,313917.00643436826,327848.0397312084,366907.57131992036,403837.10923946055,421198.0362129684,384305.69469307584,366588.5981107215,379004.49226033327,427155.5823618852,424467.4709287198,346721.3354662062
        Antarctica,3346.8254919803335,3438.5193410756906,3438.5193410756906,3438.5193410756906,3484.3662656233687,3505.465272564053,3505.2964636276342,3551.0695342656186,177.37287835075227,242.61960838023597,242.60272748659403,242.43391855017484,207.00083414376718,206.46337183887488,206.44701847315926,209.67066371865764,209.4049534939713,196.7769624005593,196.7769624005593,196.77709549954778,165.65720542144652,176.28567193946776
        Antigua and Barbuda,7690.620873771926,7690.620873771935,8244.911146378872,8665.991364752725,8988.190788518188,9125.652981601319,9405.36275294662,9856.75176125929,10083.08973870485,10564.279702702588,10214.604856261278,10185.886157878844,10467.64377575318,10468.663592740313,10703.705569958825,10956.051565693688,11115.53291685353,10574.977219831406,10895.959345511359,10953.812584191328,9269.684425832635,9888.948106244206
        Argentina,2904871.978923208,2858752.7723988495,2691445.0544372024,2930015.092900186,3156379.1695396816,3300552.972336981,3480565.5732777817,3572648.4026634046,3711153.5159555105,3629980.614967291,3775656.8174787653,3855881.537876004,3915277.68516262,3971368.0139097245,3985262.2727785097,4043381.6033676523,4047995.348679245,3869852.3028558106,3843352.5313020097,3908282.418675594,3426018.2934933337,3740064.9599350276
        Armenia,105745.19588238053,103993.61099563197,99615.2441205106,109540.87828881308,113613.83643925688,131612.47904506652,131411.49711331225,147461.84367273268,142312.42252883135,127154.90653154727,141615.01488069596,149094.75659598393,157986.37029373817,154993.0065077252,157982.63880571176,146376.16038934217,147420.48510636346,157109.30070956677,154542.5826725403,164285.35783013978,172572.42773309714,177685.39452265252
