Entity,Code,Year,Solar Capacity
Africa,,1996,1.1124252
Africa,,1997,3.1372757
Africa,,1998,5.162126
Africa,,1999,8.199402
Africa,,2000,10.927
Africa,,2001,13.028999
Africa,,2002,15.243
Africa,,2003,18.019001
Africa,,2004,21.996
Africa,,2005,25.965
Africa,,2006,34.268
Africa,,2007,46.656002
Africa,,2008,63.372997
Africa,,2009,106.845
Africa,,2010,193.842
Africa,,2011,266.388
Africa,,2012,345.954
Africa,,2013,666.973
Africa,,2014,1573.12
Africa,,2015,1930.761
Africa,,2016,2988.417
Africa,,2017,4711.063
Africa,,2018,7210.268
Africa,,2019,8415.319
Africa,,2020,9703.859
Africa,,2021,10302.26
Africa (BP),,1996,1.0124252
Africa (BP),,1997,3.0372756
Africa (BP),,1998,5.062126
Africa (BP),,1999,8.099401
Africa (BP),,2000,10.927
Africa (BP),,2001,13.029
Africa (BP),,2002,15.243
Africa (BP),,2003,18.019
Africa (BP),,2004,21.996
Africa (BP),,2005,25.965
Africa (BP),,2006,34.268
Africa (BP),,2007,46.656
Africa (BP),,2008,63.373
Africa (BP),,2009,106.845
Africa (BP),,2010,193.842
Africa (BP),,2011,266.388
Africa (BP),,2012,345.954
Africa (BP),,2013,666.973
Africa (BP),,2014,1573.12
Africa (BP),,2015,1930.761
Africa (BP),,2016,2988.417
Africa (BP),,2017,4711.063
Africa (BP),,2018,7210.268
Africa (BP),,2019,8415.319
Africa (BP),,2020,9703.859
Africa (BP),,2021,10302.26
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,1.1
Algeria,DZA,2015,49.1
Algeria,DZA,2016,219.1
Algeria,DZA,2017,400
Algeria,DZA,2018,423
Algeria,DZA,2019,423
Algeria,DZA,2020,423
Algeria,DZA,2021,423
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.025
Argentina,ARG,2001,0.026
Argentina,ARG,2002,0.026
Argentina,ARG,2003,0.026
Argentina,ARG,2004,0.026
Argentina,ARG,2005,0.026
Argentina,ARG,2006,0.026
Argentina,ARG,2007,0.026
Argentina,ARG,2008,0.026
Argentina,ARG,2009,0.026
Argentina,ARG,2010,0.026
Argentina,ARG,2011,1.252
Argentina,ARG,2012,6.252
Argentina,ARG,2013,8.257
Argentina,ARG,2014,8.252
Argentina,ARG,2015,8.618
Argentina,ARG,2016,8.806
Argentina,ARG,2017,8.806
Argentina,ARG,2018,191.236
Argentina,ARG,2019,442.111
Argentina,ARG,2020,764.135
Argentina,ARG,2021,1071.366
Asia,,1996,61
Asia,,1997,93.8
Asia,,1998,139.3
Asia,,1999,221.4
Asia,,2000,371.12
Asia,,2001,506.22998
Asia,,2002,712.151
Asia,,2003,950.82
Asia,,2004,1241.006
Asia,,2005,1610.6339
Asia,,2006,1972.485
Asia,,2007,2298.976
Asia,,2008,2878.011
Asia,,2009,3764.5862
Asia,,2010,5629.264
Asia,,2011,9884.05
Asia,,2012,16545.69
Asia,,2013,36577.152
Asia,,2014,61170.582
Asia,,2015,91588.62
Asia,,2016,142653.52
Asia,,2017,217310.88
Asia,,2018,284532.44
Asia,,2019,344220.16
Asia,,2020,423603.56
Asia,,2021,501576.28
Asia Pacific (BP),,1996,77
Asia Pacific (BP),,1997,112.5
Asia Pacific (BP),,1998,162
Asia Pacific (BP),,1999,246
Asia Pacific (BP),,2000,395.655
Asia Pacific (BP),,2001,534.56
Asia Pacific (BP),,2002,745.181
Asia Pacific (BP),,2003,988.45
Asia Pacific (BP),,2004,1285.106
Asia Pacific (BP),,2005,1659.171
Asia Pacific (BP),,2006,2029.164
Asia Pacific (BP),,2007,2363.006
Asia Pacific (BP),,2008,2951.403
